,tempi,Vin,Vout1,Vout0.1,Vout0.01
43,0.043000000000000003,1,0.04208860018598717,0.34949089696781355,0.9864314410396334
44,0.044,1,0.043046032835705406,0.35596357050574867,0.9877226597930648
45,0.045,1,0.044002508479442384,0.3623718396162328,0.9888910033881294
46,0.046,1,0.044958028085446945,0.36871634517213386,0.9899481643080209
47,0.047,1,0.04591259262100199,0.3749977217237131,0.9909047227159259
48,0.048,1,0.04686620305242441,0.38121659757310844,0.9917702524353605
49,0.049,1,0.047818860345065134,0.38737359484881806,0.9925534164646239
50,0.05,1,0.0487705654633091,0.3934693293746327,0.9932620526152288
51,0.051000000000000004,1,0.04972131937057528,0.39950441030776357,0.9939032528798925
52,0.052000000000000005,1,0.05067112302931666,0.4054794411232273,0.9944834345995962
53,0.053,1,0.05161997738829399,0.41139501933821904,0.9950084052211905
54,0.054,1,0.05256788333190673,0.4172517365413928,0.9954834183506396
55,0.055,1,0.05351484180128958,0.4230501784574288,0.9959132282767094
56,0.056,1,0.05446085374798173,0.4287909250116013,0.996302137265342
57,0.057,1,0.05540592012240034,0.4344745502572985,0.9966540359487347
58,0.058,1,0.05635004187384048,0.44010162242115053,0.9969724471411415
59,0.059000000000000004,1,0.05729321995047519,0.44567270421242994,0.997260557300483
60,0.06,1,0.05823545529935541,0.45118835275726227,0.9975212499135081
61,0.061,1,0.05917674886641006,0.4566491196587845,0.997757134707195
62,0.062,1,0.060117101596445996,0.46205555105816093,0.9979705715723097
63,0.063,1,0.06105651443314798,0.46740818769203907,0.9981636977589122
64,0.064,1,0.06199498831907875,0.472707564729786,0.9983384449818216
65,0.065,1,0.06293252419567898,0.4779542120136852,0.9984965631256336
66,0.066,1,0.06386912300326725,0.48314865421597714,0.9986396341280944
67,0.067,1,0.06480478568104012,0.4882914108047991,0.9987690906856399
68,0.068,1,0.06573951316707208,0.49338299610136493,0.9988862279684304
69,0.069,1,0.06667330639831553,0.49842391933714425,0.9989922173267184
70,0.07,1,0.0676061663106009,0.5034146846345217,0.9990881208377554
71,0.07100000000000001,1,0.06853809383863643,0.508355791066423,0.9991748975150667
72,0.07200000000000001,1,0.06946908991600839,0.513247732583989,0.9992534164788838
73,0.073,1,0.07039915547518097,0.5180909984019965,0.9993244635384173
74,0.074,1,0.07132829144749629,0.5228860728779553,0.9993887492920397
75,0.075,1,0.07225649876317444,0.5276334355676588,0.9994469177974251
76,0.076,1,0.07318377835131341,0.53233356128017,0.9994995505212468
77,0.077,1,0.07411013113988915,0.5369869200101597,0.9995471745982203
78,0.078,1,0.07503555805575556,0.5415939766758208,0.9995902667146616
